prod_id,ages,piece_count,set_name,prod_desc,prod_long_desc,theme_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
21033,12+,0.6827676304433961,Chicago,blah,blahblah,Architecture,AT,48.7878,0.40605391075033276,0.7958889470453636,Average,0.9600431217415245,0.9345358308985776
21019,12+,0.6464348078795068,The Eiffel Tower,blah,blahblah,Architecture,AT,42.6878,0.6723198367361811,0.7227062322935722,Average,0.9183854479300276,0.9205726604783713
21036,12+,0.6670882546582383,Arc de Triomphe,blah,blahblah,Architecture,AT,42.6878,0.4468917227290068,0.8766954989747304,Average,0.8748757251374245,0.7958889470453636
21032,12+,0.6595884130853362,Sydney,blah,blahblah,Architecture,AT,36.5878,0.3295158195422628,0.891668149608153,Easy,0.9183854479300276,0.891668149608153
17101,7-12,0.7551094952459696,BOOST Creative Toolbox,blah,blahblah,BOOST,AT,195.1878,0.7015886296207952,0.8294828004351504,Average,0.622510634873069,0.7783853970487746
41597,10+,0.7350317184949887,Go Brick Me,blah,blahblah,BrickHeadz,AT,36.5878,0.43434245410491135,0.9615546500799727,Average,0.9600431217415245,0.9746358687061645
41614,10+,0.6110275374713944,Owen & Blue,blah,blahblah,BrickHeadz,AT,24.3878,0.0,0.6826061944859854,Easy,1.0,1.0
41613,10+,0.5684488397633567,Mr. Incredible & Frozone,blah,blahblah,BrickHeadz,AT,24.3878,0.0,1.0,Very Easy,1.0,1.0
41609,10+,0.5604709464954114,Chewbacca™,blah,blahblah,BrickHeadz,AT,12.1878,0.0,0.43067655807339306,Very Easy,0.5000000000000001,0.8613531161467861
41608,10+,0.5542897485617049,Han Solo™,blah,blahblah,BrickHeadz,AT,12.1878,0.0,0.43067655807339306,Very Easy,0.7815853973131623,0.8613531161467861
41604,10+,0.5169202077950128,Iron Man MK50,blah,blahblah,BrickHeadz,AT,12.1878,0.18603640503926622,0.8613531161467861,Average,0.9394358849288731,0.9345358308985776
41605,10+,0.5212704939111179,Thanos,blah,blahblah,BrickHeadz,AT,12.1878,0.11737590318674407,0.6826061944859854,Easy,1.0,1.0
41606,10+,0.5294947953491217,Star-Lord,blah,blahblah,BrickHeadz,AT,12.1878,0.0,1.0,Easy,1.0,1.0
41607,10+,0.5502457790848653,Gamora,blah,blahblah,BrickHeadz,AT,12.1878,0.0,0.9345358308985776,unknown,1.0,0.906288469676671
41599,10+,0.5558673209435828,Wonder Woman™,blah,blahblah,BrickHeadz,AT,12.1878,0.2725384072720801,0.9481920934663796,Easy,1.0,1.0
41598,10+,0.5380781601765794,The Flash™,blah,blahblah,BrickHeadz,AT,12.1878,0.18603640503926622,0.6171420253845629,Very Easy,0.7815853973131623,0.6826061944859854
41603,10+,0.5451920291999228,Kylo Ren™,blah,blahblah,BrickHeadz,AT,12.1878,0.2725384072720801,0.906288469676671,Easy,1.0,0.9746358687061645
40270,10+,0.5534925509794034,Valentine's Bee,blah,blahblah,BrickHeadz,AT,12.1878,0.3295158195422628,0.7227062322935722,Easy,0.9802254366484422,0.9615546500799727
41602,10+,0.535289490300912,Rey,blah,blahblah,BrickHeadz,AT,12.1878,0.18603640503926622,0.9345358308985776,Easy,1.0,0.9345358308985776
41601,10+,0.5244257951697207,Cyborg™,blah,blahblah,BrickHeadz,AT,12.1878,0.11737590318674407,0.7783853970487746,Easy,1.0,0.8613531161467861
41600,10+,0.5494191643553223,Aquaman™,blah,blahblah,BrickHeadz,AT,12.1878,0.0,0.0,Very Easy,0.7815853973131623,0.6826061944859854
41611,10+,0.6138632784918934,Marty McFly & Doc Brown,blah,blahblah,BrickHeadz,AT,24.3878,0.0,0.6826061944859854,Easy,1.0,1.0
41610,10+,0.5983723548623964,Tactical Batman™ & Superman™,blah,blahblah,BrickHeadz,AT,24.3878,,0.9345358308985776,unknown,0.9183854479300276,0.906288469676671
40271,10+,0.5416915634540529,Easter Bunny,blah,blahblah,BrickHeadz,AT,12.1878,0.23475180637348814,0.43067655807339306,Easy,1.0,0.9345358308985776
